sku,work_center
106020216,25000001
106020217,25000001
106020218,25000001
106020219,25000001
106020220,25000001
106020221,25000001
106020222,25000001
106020223,25000001
106020224,25000001
106020225,25000001
106020226,25000001
106020227,25000001
106020228,25000001
106020229,25000001
106020230,25000001
106020231,25000001
106020232,25000001
106020233,25000001
106020234,25000001
106020235,25000001
106020236,25000001
106020237,25000001
106020238,25000001
106020239,25000001
106020240,25000001
106020241,25000001
106020242,25000001
106020243,25000001
106020244,25000001
106020245,25000001
106020246,25000001
106020247,25000001
106020248,25000001
106020249,25000001
106020250,25000001
106020251,25000001
106020252,25000001
106020253,25000001
106020254,25000001
106020255,25000001
106020256,25000001
106020257,25000001
106020258,25000001
106020259,25000002
106020260,25000001
106020261,25000001
106020262,25000001
106020263,25000001
106020264,25000001
106020265,25000001
106020266,25000001
106020267,25000001
106020268,25000001
106020269,25000001
106020270,25000001
106020271,25000001
106020272,25000001
106020273,25000001
106020274,25000001
106020275,25000001
106020276,25000001
106020277,25000001
106020278,25000001
106020279,25000001
106020280,25000001
106020281,25000001
106020282,25000001
106020283,25000001
106020284,25000001
106020285,25000001
106020286,25000001
106020287,25000001
106020288,25000001
106020289,25000001
106020290,25000001
106020291,25000001
106020292,25000001
106020293,25000001
106020294,25000001
106020295,25000001
106020296,25000001
106020297,25000001
106020298,25000001
106020299,25000001
106020300,25000001
106020301,25000001
106020302,25000001
106020303,25000001
106020304,25000001
106020305,25000001
106020306,25000001
106020307,25000002
106020308,25000002
106020309,25000002
106020310,25000002
106020311,25000002
106020312,25000002
106020313,25000002
106020314,25000002
106020315,25000002
106020316,25000002
106020317,25000002
106020318,25000002
106020319,25000002
106020320,25000002
106020321,25000002
106020322,25000002
106020323,25000002
106020324,25000002
106020325,25000002
106020326,25000002
106020327,25000002
106020328,25000002
106020329,25000002
106020330,25000002
106020331,25000002
106020332,25000002
106020333,25000002
106020334,25000002
106020335,25000002
106020336,25000002
106020337,25000002
106020338,25000002
106020339,25000002
106020340,25000002
106020341,25000002
106020342,25000002
106020343,25000002
106020344,25000002
106020345,25000002
106020346,25000002
106020347,25000002
106020348,25000002
106020349,25000002
106020350,25000002
106020351,25000002
106020352,25000002
106020353,25000002
106020354,25000002
106020355,25000002
106020356,25000002
106020357,25000002
106020358,25000002
106020359,25000002
106020360,25000002
106020361,25000002
106020362,25000002
106020363,25000002
106020364,25000002
106020365,25000002
106020366,25000001
106020367,25000001
106020368,25000001
106020369,25000001
106020370,25000001
106020371,25000001
106020372,25000002
106020373,25000001
106020374,25000001
106020375,25000001
106020376,25000001
106020377,25000001
106020378,25000001
106020379,25000001
106020380,25000001
106020381,25000001
106020382,25000001
106020383,25000001
106020384,25000001
106020385,25000002
106020386,25000002
106020387,25000002
106020388,25000002
106020389,25000002
106020390,25000002
106020391,25000001
106020392,25000002
106020393,25000002
106020394,25000002
106020395,25000002
106020396,25000002
106020397,25000002
106020398,25000002
106020399,25000002
106020400,25000002
106020401,25000002
106020402,25000002
106020403,25000002
106020404,25000002
106020405,25000002
106020406,25000002
106020407,25000002
106020408,25000002
106020409,25000002
106020410,25000002
106020411,25000002
106020412,25000002
106020413,25000002
106020414,25000002
106020415,25000002
106020416,25000002
106020417,25000002
106020418,25000002
106020419,25000002
106020420,25000002
106020421,25000002
106020422,25000002
106020423,25000002
106020424,25000002
106020425,25000002
106020426,25000002
106020427,25000002
106020428,25000002
106020429,25000002
106020430,25000002
106020431,25000002
106020432,25000002
106020433,25000002
106020434,25000002
106020435,25000002
106020436,25000002
106020437,25000002
106020438,25000002
106020439,25000002
106020440,25000002
106020441,25000002
106020442,25000002
106020443,25000002
106020444,25000002
106020445,25000002
106020446,25000002
106020447,25000002
106020448,25000002
106020449,25000002
106020450,25000002
106020451,25000002
106020452,25000002
106020453,25000002
106020454,25000002
106020455,25000002
106020456,25000002
106020457,25000002
106020458,25000002
106020459,25000002
106020460,25000001
106020461,25000002
106020462,25000002
106020463,25000002
106020464,25000002
106020465,25000002
106020466,25000002
106020467,25000002
106020468,25000002
106020469,25000002
106020470,25000002
106020471,25000002
106020472,25000001
106020473,25000002
106020474,25000002
106020475,25000002
106020476,25000002
106020477,25000002
106020478,25000002
106020479,25000002
106020480,25000002
106020481,25000002
106020482,25000002
106020483,25000002
106020484,25000002
106020485,25000002
106020486,25000002
106020487,25000002
106020488,25000002
106020489,25000002
106020490,25000002
106020491,25000002
106020492,25000002
106020493,25000002
106020494,25000002
106020495,25000002
106020496,25000002
106020497,25000002
106020498,25000002
106020499,25000002
106020500,25000002
106020501,25000002
106020502,25000002
106020503,25000002
106020504,25000002
106020505,25000002
106020506,25000002
106020507,25000002
106020508,25000002
106020509,25000002
106020510,25000002
106020511,25000002
106020512,25000002
106020513,25000002
106020514,25000002
106020515,25000002
106020516,25000002
106020517,25000001
106020518,25000001
106020519,25000001
106020520,25000001
106020521,25000001
106020522,25000001
106020523,25000001
106020524,25000001
106020525,25000001
106020526,25000001
106020527,25000001
106020528,25000001
106020529,25000001
106020530,25000001
106020531,25000001
106020532,25000001
106020533,25000001
106020534,25000001
106020535,25000001
106020536,25000001
106020537,25000001
106020538,25000001
106020539,25000001
106020540,25000001
106020541,25000001
106020542,25000001
106020543,25000001
106020544,25000001
106020545,25000001
106020546,25000001
106020547,25000001
106020548,25000001
106020549,25000001
106020550,25000001
106020551,25000001
106020552,25000001
106020553,25000001
106020554,25000001
106020555,25000001
106020556,25000001
106020557,25000001
106020558,25000001
106020559,25000001
106020560,25000001
106020561,25000001
106020562,25000001
106020563,25000001
106020564,25000001
106020565,25000001
106020566,25000001
106020567,25000001
106020568,25000001
106020569,25000001
106020570,25000001
106020571,25000001
106020572,25000001
106020573,25000001
106020574,25000001
106020575,25000001
106020576,25000001
106020577,25000001
106020578,25000001
106020579,25000001
106020580,25000001
106020581,25000001
106020582,25000001
106020583,25000001
106020584,25000001
106020585,25000001
106020586,25000001
106020587,25000001
106020588,25000001
106020589,25000001
106020590,25000001
106020591,25000001
106020592,25000001
106020593,25000001
106020594,25000001
106020595,25000001
106020596,25000001
106020597,25000001
106020598,25000001
106020599,25000001
106020600,25000001
106020601,25000001
106020602,25000001
106020603,25000001
106020604,25000001
106020605,25000001
106020606,25000001
106020607,25000001
106020608,25000001
106020609,25000001
106020610,25000001
106020611,25000001
106020612,25000001
106020613,25000001
106020614,25000001
106020615,25000001
106020616,25000001
106020617,25000001
106020618,25000001
106020619,25000001
106020620,25000001
106020621,25000001
106020622,25000001
106020623,25000001
106020624,25000001
106020625,25000001
106020626,25000001
106020627,25000001
106020628,25000001
106020629,25000001
106020630,25000001
106020631,25000001
106020632,25000001
106020633,25000001
106020634,25000001
106020635,25000001
106020636,25000001
106020637,25000001
106020638,25000001
106020639,25000001
106020640,25000001
106020641,25000001
106020642,25000001
106020643,25000001
106020644,25000001
106020645,25000001
106020646,25000001
106020647,25000001
106020648,25000001
106020649,25000001
106020650,25000001
106020651,25000001
106020652,25000001
106020653,25000001
106020654,25000001
106020655,25000001
106020656,25000001
106020657,25000001
106020658,25000001
106020659,25000001
106020660,25000001
106020661,25000001
106020662,25000001
106020663,25000001
106020664,25000001
106020665,25000001
106020666,25000001
106020667,25000001
106020668,25000001
106020669,25000001
106020670,25000001
106020671,25000001
106020672,25000001
106020673,25000001
106020674,25000001
106020675,25000001
106020676,25000001
106020677,25000001
106020678,25000001
106020679,25000001
106020680,25000001
106020681,25000001
106020682,25000001
106020683,25000001
106020684,25000001
106020685,25000001
106020686,25000001
106020687,25000001
106020688,25000001
106020689,25000001
106020690,25000001
106020691,25000001
106020692,25000001
106020693,25000001
106020694,25000001
106020695,25000001
106020696,25000001
106020697,25000001
106020698,25000001
106020699,25000001
106020700,25000001
106020701,25000001
106020702,25000001
106020703,25000001
106020704,25000001
106020705,25000001
106020706,25000001
106020707,25000001
106020708,25000001
106020709,25000001
106020710,25000001
106020711,25000001
106020712,25000001
106020713,25000001
106020714,25000001
106020715,25000001
106020716,25000001
106020717,25000001
106020718,25000001
106020719,25000001
106020720,25000001
106020721,25000001
106020722,25000001
106020723,25000001
106020724,25000001
106020725,25000001
106020726,25000001
106020727,25000001
106020728,25000001
106020729,25000001
106020730,25000001
106020731,25000001
106020732,25000001
106020733,25000001
106020734,25000001
106020735,25000001
106020736,25000001
106020737,25000001
106020738,25000001
106020739,25000001
106020740,25000001
106020741,25000001
106020742,25000001
106020743,25000001
106020744,25000001
106020745,25000001
106020746,25000001
106020747,25000001
106020748,25000001
106020749,25000001
106020750,25000001
106020751,25000001
