,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
29,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"7"" FLT",16995.859000000008,0.0,237.9075,372.0
30,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5"" CHN",8342.358,907.0,512.4,421.0
31,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"12"" FLT",1064.7780000000002,0.0,64.677,84.0
32,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1"" SB FLT",15.392,0.0,52.382,31.0
33,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3/8"" SQR",0.0,0.0,0.0,3.0
34,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3"" ANG",16281.508000000003,1079.0,626.0264999999999,817.0
35,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4"" ANG",58497.40199999996,3608.0,1756.5530000000003,2322.0
36,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3/4"" SQR",0.0,0.0,0.0,2.0
37,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3"" ANG",17910.628000000004,0.0,592.585,614.0
38,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4-1/2"" FLT",45.80900000000001,0.0,0.0,0.0
39,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2"" FLT",15.3,0.0,15.725,26.0
40,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4"" FLT",66.606,0.0,20.094,42.0
41,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3-1/2"" ANG",31468.726000000006,21.0,787.1479999999998,785.0
42,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3-1/2"" ANG",1387.3090000000007,0.0,52.93099999999999,85.0
43,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3"" FLT",24.378,0.0,15.608,12.0
44,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5"" ANG",13213.48999999999,0.0,377.88599999999997,396.0
45,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2-1/2"" ANG",0.4200000000000001,0.0,0.0,0.0
46,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3-1/2"" FLT",5.084,0.0,7.4990000000000006,11.0
47,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2"" MED FLT",0.0,0.0,20.104,3.0
48,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"8 X 4"" ANG",249.3119999999999,0.0,4.5,14.0
49,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"4 X 3"" ANG",7001.300999999989,0.0,713.6660000000003,502.0
50,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"8 X 6"" ANG",128.79999999999993,0.0,41.400000000000006,14.0
51,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1-2"" LRG FLT",0.0,0.0,2.5,0.0
52,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"4 X 3-1/2"" ANG",1410.7310000000002,0.0,41.391999999999996,53.0
53,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"3/8"" SQR",0.0,0.0,2.519,0.0
54,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1-1/4"" FLT",0.0,0.0,0.0,0.0
55,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"8"" FLT",16756.964999999997,0.0,547.1769999999998,552.0
56,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"3/4"" SQR",4.896,0.0,2.4485,0.0
57,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"9"" CHN",703.6319999999998,0.0,47.487999999999985,5.0
58,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"3-1/2"" FLT",4.998,0.0,7.6259999999999994,2.0
59,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"9"" FLT",69.35000000000004,0.0,0.0,4.0
60,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"L2"" FLT",4.896,0.0,0.0,2.0
61,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,MC10X8.4,0.0,0.0,2.352,0.0
62,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"3"" FLT",51.84400000000001,0.0,19.585,15.0
63,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,MC12X10.6,209.87999999999997,0.0,8.48,10.0
64,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"8"" CHN",17624.909,12.0,561.7650000000001,674.0
65,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1/2"" SQR",0.0,0.0,0.0,0.0
66,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"5"" CHN",12498.918000000005,0.0,645.0549999999998,599.0
67,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"2-1/2"" ANG",0.4000000000000001,0.0,0.0,0.0
68,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"2"" ANG",63.34000000000002,0.0,0.0,0.0
69,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"5 X 3-1/2"" ANG",21494.212000000007,1719.0,370.85599999999994,605.0
70,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"5"" FLT",16844.544000000005,926.0,457.77200000000005,462.0
71,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"2 X 1"" CHN",0.0,0.0,2.5055,0.0
72,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"15"" CHN",94.91999999999999,0.0,0.0,0.0
73,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"2"" FLT",51.834,0.0,10.302,25.0
74,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"6 X 3-1/2"" ANG",16134.903000000002,1270.0,365.8694999999999,567.0
75,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"5 X 3"" ANG",8659.170000000004,632.0,302.66400000000004,351.0
76,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"12"" FLT",1279.998,0.0,62.568000000000005,61.0
77,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1"" SB FLT",63.40200000000001,0.0,15.2975,33.0
78,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"6 X 4"" ANG",32493.385999999995,2053.0,592.6300000000001,519.0
79,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"7"" FLT",16563.154999999988,287.0,156.4655,122.0
80,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"4-1/2"" FLT",48.22000000000001,0.0,0.0,0.0
81,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"3-1/2"" ANG",15661.287999999988,6.0,851.0699999999999,782.0
82,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"12"" CHN",1110.6720000000003,0.0,64.81349999999999,40.0
83,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"6"" CHN",26369.065,-1.0,1168.4079999999994,1205.0
84,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"2"" MED FLT",41.088,0.0,2.5,8.0
85,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"10"" FLT",1336.47,0.0,54.555,62.0
86,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"4"" FLT",20.604000000000003,0.0,14.892,10.0
87,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"6"" FLT",26528.872000000007,1019.0,616.4649999999996,586.0
88,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"7 X 4"" ANG",200.12199999999996,0.0,9.308,15.0
89,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"10"" CHN",12543.122,-10.0,418.1620000000001,436.0
90,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"5"" ANG",16400.280999999988,1206.0,769.6290000000001,741.0
91,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"7"" CHN",8504.844,0.0,210.51999999999995,197.0
92,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"6"" ANG",21297.69199999999,1757.0,1326.0325,1154.0
93,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"4"" ANG",25486.164000000004,612.0,1683.5950000000007,1253.0
94,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1"" CHN",20.968,0.0,0.0,10.0
95,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,PR 1/4,2.0,0.0,0.0,0.0
